20170627|https://mindyourmajor.com/2017/06/27/episode-8-tesla-manager-and-house-flipper-marcus-schwab/|Episode 8: Tesla Manager and House Flipper Marcus|28 year old Marcus Schwab is a former showroom manager at Tesla Motors and is currently flipping a house for profit with his bare hands! This episode is
20170629|http://www.businessinsider.com/again-tesla-model-3-design-different-chevy-bolt-2017-6|How Tesla Model 3 design differs from Chevy Bolt|The Tesla Model 3 and the Chevy Bolt are both long-range, all-electric cars for the people, but they embody very different design philosophies.
20170628|http://www.investopedia.com/news/tesla-could-be-living-room-wheels-music-streaming-tsla-aapl/|Tesla Could Be 'Living Room on Wheels' With Music|Could electric car maker Tesla, Inc. (TSLA) become a content company? That prospect may not sound that outlandish after a recent report by Morgan
20170627|https://www.thewallstreetchronicle.com/2017/06/27/tesla-inc-to-announce-q2-deliveries-what-to-expect/|Tesla, Inc. to Announce Q2 Deliveries: What to Expect|Image source: author. What to expect. For the first half of 2017, Tesla said it expected a big year-over-year jump in vehicle deliveries. Management guided
20170627|http://motamuseum.com/2017/06/27/zmagovalca-nagrade-tesla-plateauresidue/|TESLA Award Winners: PLATEAURESIDUE - MoTAMoTA|TESLA Award is a new competition in Slovenia focusing on new and progressive art forms, what we call transdisciplinary or intermedia art, in order to
20170627|http://www.investopedia.com/news/amd-tops-tesla-biggest-short_squeeze/|AMD Tops Tesla for Biggest Short Squeeze of the Week|Move over Tesla Inc. (TSLA), we have a new biggest loser. For the week ending June 23, Advanced Micro Devices Inc. (AMD) was the
20170629|http://www.orlandosentinel.com/classified/realestate/os-lake-nona-apartments-20170629-story.html|Tesla ride shares, micro units set for Lake Nona project|Pixon apartments in Lake Nona are set to include Tesla ride shares, micro units (Tavistock Development Group)
20170626|http://www.businessinsider.com/tesla-chris-lattner-explains-how-car-data-is-used-2017-6|Ex-Tesla exec Chris Lattner explains how car data is used|Tesla ramped up its efforts to become a big data company under Chris Lattner, one of Apple's most famous developers who left the electric carmaker last
20170628|http://mashable.com/2017/06/28/porsche-driver-spins-out-racing-tesla/|Poor Porsche completely spins out trying to keep up|Here is something you probably thought you'd never see: a Porsche absolutely spinning out trying to keep up with a Tesla. A TESLA.
20170626|http://www.graffiotech.com/2017/06/26/tesla-reportedly-in-talks-with-labels-for-music-streaming/|Tesla Reportedly In Talks With Labels For Music|Tesla Reportedly In Talks With Labels For Music-Streaming Service . Microsoft Surface Pro 5 New Leak Reveals Release Date, Features, Price, & Specs
20170630|http://www.drivespark.com/four-wheelers/2017/bmw-3-series-electric-car-reveal-september-022847.html|Wants To Take On Tesla - drivespark.com|BMW wants to fend off Tesla in the electric car segment, and it will position its most popular 3 Series when the Bavarian luxury carmaker
20170628|http://diyreconditionbatteryez.com/NicdBatterySolarBatteryBackup/TeslaGiantSolarBattery=cs2017.html|# Tesla Giant Solar Battery - Nature Power Solar Battery|★ Tesla Giant Solar Battery - Nature Power Solar Battery Chargers 5 Watt Solar Panels For Battery Charging Waterproof Solar Battery Controller
20170627|https://www.themarketsdaily.com/2017/06/27/financial-contrast-tesla-tsla-vs-honda-motor-company-hmc.html|Financial Contrast: Tesla (TSLA) vs. Honda Motor|Tesla (NASDAQ: TSLA) and Honda Motor Company (NYSE:HMC) are both large-cap auto/tires/trucks companies, but which is the better stock? We will compare the
